symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen
APOE	0.8218996413193651	0.965318557964391	No data	No data	0.9066612367713315	No data	0.607930797611621	0.9471757543886921	No data	No data
LDLR	0.7448562510088852	0.911995002526553	0.973999631861771	No data	No data	No data	No data	No data	No data	No data
PCSK9	0.7437074214033449	0.9681610788712554	No data	No data	No data	No data	No data	No data	No data	No data
HMGCR	0.7358139579665885	0.7964614878460929	No data	No data	No data	No data	No data	No data	No data	No data
GUCY1B1	0.7059713740514634	0.6661773320847683	No data	No data	No data	No data	No data	No data	No data	No data
PDE3A	0.7017178917747594	0.8843598774021375	No data	No data	No data	No data	No data	No data	No data	No data
LRP6	0.6985050417760029	No data	No data	0.8256407952465378	No data	No data	0.607930797611621	0.865457038266544	No data	No data
PDE5A	0.6697941085199391	0.6343530951604799	No data	No data	No data	No data	No data	No data	No data	No data
CETP	0.6394840889786936	0.8673560696451045	No data	0.015198269940290528	No data	No data	No data	No data	No data	No data
LPL	0.6340869623685922	0.9416244845540852	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data
CACNA1C	0.6249939669369031	No data	No data	No data	No data	No data	No data	No data	No data	No data
PTGS2	0.6154039892024387	No data	No data	No data	No data	No data	No data	No data	No data	No data
SORT1	0.61531218263983	0.9684111405318894	No data	No data	No data	No data	No data	No data	No data	No data
ACE	0.6134458520307259	No data	No data	No data	No data	No data	No data	No data	No data	No data
P2RY12	0.6133770756450054	No data	No data	No data	No data	No data	No data	No data	No data	No data
CD36	0.6107720969225636	No data	No data	0.835702203116775	No data	No data	0.607930797611621	No data	No data	No data
PTGS1	0.6087457839672977	No data	No data	No data	No data	No data	No data	No data	No data	No data
CACNA1D	0.6071763521143955	No data	No data	No data	No data	No data	No data	No data	No data	No data
CACNA1S	0.6062524024776837	No data	No data	No data	No data	No data	No data	No data	No data	No data
CACNA1F	0.6062524024776837	No data	No data	No data	No data	No data	No data	No data	No data	No data
GUCY1B2	0.6047239448401946	No data	No data	No data	No data	No data	No data	No data	No data	No data
CELSR2	0.5930975663862565	0.9650657340881666	No data	No data	No data	No data	No data	No data	No data	No data
SCARB1	0.5912518698886495	0.9183395832419448	No data	No data	No data	No data	No data	No data	No data	No data
JCAD	0.587237054688711	0.9500337935622946	No data	No data	No data	No data	No data	No data	No data	No data
HNF1A	0.5850132928750283	0.9325573742364917	No data	No data	No data	No data	No data	No data	No data	No data
GUCY1A1	0.5846949395057048	0.9237657468868136	No data	No data	No data	No data	No data	No data	No data	No data
FURIN	0.5843025369616941	0.9311120111468846	No data	No data	No data	No data	No data	No data	No data	No data
ZC3HC1	0.5826966507136722	0.9431188200485419	No data	No data	No data	No data	No data	No data	No data	No data
MEF2A	0.5823734246657274	No data	No data	0.7870305879813247	No data	No data	0.607930797611621	No data	No data	No data
PDE4B	0.5805704443270165	0.11898561468761137	No data	No data	No data	No data	No data	No data	No data	No data
FN1	0.5801035616286246	0.9249467472754163	No data	No data	No data	No data	No data	No data	No data	No data
APOB	0.5773489549758225	0.9015925351133752	No data	No data	No data	No data	No data	No data	No data	No data
FES	0.5771674669237026	0.9475433123891082	No data	No data	No data	No data	No data	No data	No data	No data
PDE3B	0.5756961169911737	No data	No data	No data	No data	No data	No data	No data	No data	No data
HHIPL1	0.575542331449571	0.9405322483902813	No data	No data	No data	No data	No data	No data	No data	No data
LIPA	0.5733005183850995	0.9261144630327757	No data	No data	No data	No data	No data	No data	No data	No data
F2	0.572565071822026	No data	No data	No data	No data	No data	No data	No data	No data	No data
FGF5	0.5720423650514088	0.9367849285270906	No data	No data	No data	No data	No data	No data	No data	No data
APOA5	0.570580457317308	0.8968022997656777	No data	No data	No data	No data	No data	No data	No data	No data
PDE2A	0.5703537068442885	0.0460885644278204	No data	No data	No data	No data	No data	No data	No data	No data
ANGPTL4	0.5703086571234358	0.8944183502494525	No data	No data	No data	No data	No data	No data	No data	No data
PDE1A	0.5694163116920176	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE4D	0.5691163609810925	No data	No data	No data	No data	No data	No data	No data	No data	No data
LPA	0.5685074973114221	0.8881034077423282	No data	No data	No data	No data	No data	No data	No data	No data
PDE8A	0.566552067818211	No data	No data	No data	No data	No data	No data	No data	No data	No data
TGFB1	0.5664765966088051	0.8852693449167257	No data	No data	No data	No data	No data	No data	No data	No data
ADRB1	0.5659059288293766	No data	No data	No data	No data	No data	No data	No data	No data	No data
ITGB3	0.5642892997647657	No data	No data	No data	No data	No data	No data	No data	No data	No data
ARHGAP26	0.5640353771059934	0.9277953663836744	No data	No data	No data	No data	No data	No data	No data	No data
PDE4A	0.5635492314988979	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE1C	0.5635030340170623	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE7A	0.5634106390533912	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE6B	0.5630410591987064	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE7B	0.562856269271364	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADAMTS7	0.5626794956270916	0.8863416827438548	No data	No data	No data	No data	No data	No data	No data	No data
SLC29A1	0.5626098402796443	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE6D	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE6G	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE10A	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE6C	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE4C	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE8B	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE6A	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE6H	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE9A	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDE1B	0.5624866894166793	No data	No data	No data	No data	No data	No data	No data	No data	No data
HP	0.5584819316174802	0.8747051213234173	No data	No data	No data	No data	No data	No data	No data	No data
PLPP3	0.5584604936303473	0.8989489612128636	No data	No data	No data	No data	No data	No data	No data	No data
ABCG8	0.5549078637423854	0.8997618186479435	No data	No data	No data	No data	No data	No data	No data	No data
NBEAL1	0.5534654977525237	0.7808980302677622	0.488142619807186	No data	No data	No data	No data	No data	No data	No data
ADRB2	0.552115653573613	No data	No data	No data	No data	No data	No data	No data	No data	No data
COL4A1	0.5487230053470313	0.8891848648549475	No data	No data	No data	No data	No data	No data	No data	No data
MRAS	0.5467196473040765	0.889537036944978	No data	No data	No data	No data	No data	No data	No data	No data
FLT1	0.5463836035575492	0.861337563972584	No data	No data	No data	No data	No data	No data	No data	No data
ITGB5	0.5442407734736838	0.8932758583485396	No data	No data	No data	No data	No data	No data	No data	No data
DAB2IP	0.54389050644733	0.883057960623825	No data	No data	No data	No data	No data	No data	No data	No data
SH2B3	0.5414874302268475	0.8595463815525857	No data	No data	No data	No data	No data	No data	No data	No data
PLG	0.5411036879276565	0.7311462266102856	No data	No data	No data	No data	No data	No data	No data	No data
ZNF32	0.5380575671787388	0.8850638416290252	No data	No data	No data	No data	No data	No data	No data	No data
PPARA	0.5357771704550659	No data	No data	No data	No data	No data	No data	No data	No data	No data
ZPR1	0.5351164825699251	0.86288524546041	No data	No data	No data	No data	No data	No data	No data	No data
SERPINA1	0.5341359434256502	0.8615243443358351	No data	No data	No data	No data	No data	No data	No data	No data
COL4A2	0.532215336912288	0.8649085754109771	No data	No data	No data	No data	No data	No data	No data	No data
SLC22A3	0.5303697396054002	0.8357149126500262	No data	No data	No data	No data	No data	No data	No data	No data
SERPINH1	0.530100848771669	0.8686151376742396	No data	No data	No data	No data	No data	No data	No data	No data
PRDM16	0.5288414009292366	0.8620216237301306	No data	No data	No data	No data	No data	No data	No data	No data
SLC22A1	0.5284730370103782	0.8658784065486113	No data	No data	No data	No data	No data	No data	No data	No data
NDUFA12	0.52801889845978	0.7355661318760494	No data	No data	No data	No data	No data	No data	No data	No data
TNS1	0.5275297566245477	0.8659226002838563	No data	No data	No data	No data	No data	No data	No data	No data
FDX1	0.5254538568421184	0.855791111805991	No data	No data	No data	No data	No data	No data	No data	No data
ABCA1	0.5228990001877275	0.8134020911574903	No data	No data	No data	No data	No data	No data	No data	No data
TCF7L2	0.5215012060401478	0.828382951417748	No data	No data	No data	No data	No data	No data	No data	No data
KCNK5	0.5212322852412894	0.853283997553888	No data	No data	No data	No data	No data	No data	No data	No data
GMDS	0.5211930422669014	0.8573229787247391	No data	No data	No data	No data	No data	No data	No data	No data
ZNF652	0.5207647484425089	0.8528189004202192	No data	No data	No data	No data	No data	No data	No data	No data
STN1	0.5205359128002585	0.8514041509755597	No data	No data	No data	No data	No data	No data	No data	No data
TCF21	0.5202776618552685	0.8135477399502669	No data	No data	No data	No data	No data	No data	No data	No data
FIGN	0.519407607627613	0.8543860743166997	No data	No data	No data	No data	No data	No data	No data	No data
MIA3	0.5190394287136116	0.8398514445956002	No data	0.012158615952232422	No data	No data	No data	No data	No data	No data
SERPINC1	0.5170250037335911	No data	No data	No data	No data	No data	No data	No data	No data	No data
TRIM5	0.5158611727181908	0.846880648489071	No data	No data	No data	No data	No data	No data	No data	No data
TSPAN14	0.5136880256878772	0.843154003938597	No data	No data	No data	No data	No data	No data	No data	No data
ITGA2B	0.5117034373699454	No data	No data	No data	No data	No data	No data	No data	No data	No data
IGF2R	0.510636376299449	0.8393501340110593	No data	No data	No data	No data	No data	No data	No data	No data
EDNRA	0.5103776930659876	0.8042367147755911	No data	No data	No data	No data	No data	No data	No data	No data
LIPC	0.5102492696529523	0.786719416519633	No data	No data	No data	No data	No data	No data	No data	No data
PARP12	0.5097498193398493	0.8378918151315377	No data	No data	No data	No data	No data	No data	No data	No data
PROCR	0.5094301459301877	0.828226025637892	No data	No data	No data	No data	No data	No data	No data	No data
ZEB2	0.5085877874923779	0.8205043857208314	No data	No data	No data	No data	No data	No data	No data	No data
UMPS	0.5085453054473832	0.8365184120385184	No data	No data	No data	No data	No data	No data	No data	No data
KLF4	0.5060144374644144	0.8180963067079962	No data	No data	No data	No data	No data	No data	No data	No data
FER	0.504925073207098	0.8305634048987124	No data	No data	No data	No data	No data	No data	No data	No data
APOC3	0.5023815066806289	No data	No data	0.7789113344398895	No data	No data	No data	No data	No data	No data
ABO	0.5022865605433963	0.8171806678148822	No data	No data	No data	No data	No data	No data	No data	No data
FGD5	0.5011858010968352	0.8193971571315639	No data	No data	No data	No data	No data	No data	No data	No data
PHACTR1	0.5008477986221254	0.8027744234177795	No data	No data	No data	No data	No data	No data	No data	No data
MAP1S	0.5005065957781432	0.8232953450367779	No data	No data	No data	No data	No data	No data	No data	No data
MFGE8	0.49996031933189716	0.8082694261967333	No data	No data	No data	No data	No data	No data	No data	No data
ARHGAP42	0.4980779447875344	0.8034070610866695	No data	No data	No data	No data	No data	No data	No data	No data
SEMA5A	0.49556981245075415	0.8151747113284937	No data	No data	No data	No data	No data	No data	No data	No data
TENT5A	0.49426939897182304	0.813035629900081	No data	No data	No data	No data	No data	No data	No data	No data
SMAD3	0.4936170784142915	0.7739731416225987	No data	0.012158615952232422	No data	No data	No data	No data	No data	No data
SLC2A12	0.49105752426566457	0.8077523398960593	No data	No data	No data	No data	No data	No data	No data	No data
MCF2L	0.4897401694149376	0.8049774603998417	No data	No data	No data	No data	No data	No data	No data	No data
CXCL12	0.4883592662596281	0.7668506267340947	No data	No data	No data	No data	No data	No data	No data	No data
MAP3K1	0.48784958532255507	0.8017156104263838	No data	No data	No data	No data	No data	No data	No data	No data
PLEKHG1	0.4872293661762713	0.7377669603381376	No data	No data	No data	No data	No data	No data	No data	No data
SWAP70	0.48687480314184783	0.7948413233072292	No data	No data	No data	No data	No data	No data	No data	No data
REST	0.4860864089959576	0.7983298189628192	No data	No data	No data	No data	No data	No data	No data	No data
PSRC1	0.4857480865965191	0.7775655069637322	No data	No data	No data	No data	No data	No data	No data	No data
HTRA1	0.48368777437660265	0.781968785605003	No data	No data	No data	No data	No data	No data	No data	No data
HDGFL1	0.4816857866217095	0.7923365430968614	No data	No data	No data	No data	No data	No data	No data	No data
ANKRD55	0.479800574883541	0.7892355129375489	No data	No data	No data	No data	No data	No data	No data	No data
PNPLA3	0.47698773570877373	0.751120374584542	No data	No data	No data	No data	No data	No data	No data	No data
BUD13	0.474672593503978	0.7679759090758961	No data	No data	No data	No data	No data	No data	No data	No data
BMAL1	0.4746338133278909	0.7572474939115184	No data	No data	No data	No data	No data	No data	No data	No data
CELA2A	0.47352418881477415	No data	No data	0.7789113344398895	No data	No data	No data	No data	No data	No data
ALDH2	0.47328723726120886	0.7459016207470334	No data	No data	No data	No data	No data	No data	No data	No data
ARHGAP15	0.4719431678135767	0.7763106749447483	No data	No data	No data	No data	No data	No data	No data	No data
PID1	0.4717483234400174	0.7759901707453808	No data	No data	No data	No data	No data	No data	No data	No data
IL6R	0.4690801070615205	0.7369164250481764	No data	No data	No data	No data	No data	No data	No data	No data
BTBD16	0.4683463338700329	0.7703941562263765	No data	No data	No data	No data	No data	No data	No data	No data
CDKN1A	0.46754822199917095	0.7475182670692643	No data	No data	No data	No data	No data	No data	No data	No data
FHL1	0.46698288114305875	0.7662515962791624	No data	No data	No data	No data	No data	No data	No data	No data
ARHGEF26	0.4659899454216145	0.7568217488043727	No data	No data	No data	No data	No data	No data	No data	No data
GOSR2	0.46583792402871493	0.7564651283972608	No data	No data	No data	No data	No data	No data	No data	No data
DCLRE1B	0.46525963864603403	0.7653167769652409	No data	No data	No data	No data	No data	No data	No data	No data
ZNF485	0.46249036543526184	0.7607615328130252	No data	No data	No data	No data	No data	No data	No data	No data
ZNF827	0.4620982644344859	0.7582927640473591	No data	No data	No data	No data	No data	No data	No data	No data
IRS1	0.46141119467387537	0.7368982229827566	No data	No data	No data	No data	No data	No data	No data	No data
CARF	0.45978148700776067	0.7547858064992979	No data	No data	No data	No data	No data	No data	No data	No data
YBX3	0.45974996589333045	0.7562537836535853	No data	No data	No data	No data	No data	No data	No data	No data
LOXL1	0.45959171924466236	0.7432944810492425	No data	No data	No data	No data	No data	No data	No data	No data
AGPAT4	0.4591901420711788	0.7553329159753052	No data	No data	No data	No data	No data	No data	No data	No data
GNPDA2	0.45878972096748716	0.7546742536649488	No data	No data	No data	No data	No data	No data	No data	No data
HDAC9	0.45787193792540215	0.7150822668313906	No data	No data	No data	No data	No data	No data	No data	No data
FCHO1	0.45485460677323075	0.7460735318291829	No data	No data	No data	No data	No data	No data	No data	No data
SEMA3C	0.454549668365002	0.7446600351061483	No data	No data	No data	No data	No data	No data	No data	No data
C1S	0.4520833834040118	0.7389896391288051	No data	No data	No data	No data	No data	No data	No data	No data
VWF	0.4520218048369371	0.6991042876886988	No data	No data	No data	No data	No data	No data	No data	No data
ZNF831	0.45069279436394094	0.741355424226867	No data	No data	No data	No data	No data	No data	No data	No data
CDKN2B	0.4495590057408822	0.699662278207176	No data	No data	No data	No data	No data	No data	No data	No data
HMBS	0.4467325665304466	0.7339292539567344	No data	No data	No data	No data	No data	No data	No data	No data
ITIH4	0.4455049424813716	0.7272376670812266	No data	No data	No data	No data	No data	No data	No data	No data
NAT2	0.4454470690121074	0.7239812665191556	No data	No data	No data	No data	No data	No data	No data	No data
MYH11	0.4450035464122081	0.7294259353846453	No data	No data	No data	No data	No data	No data	No data	No data
HPR	0.444844997451111	0.7305203807513965	No data	No data	No data	No data	No data	No data	No data	No data
PLCE1	0.44413106628998295	0.7275222258095135	No data	No data	No data	No data	No data	No data	No data	No data
SMAD7	0.4437495603716516	0.7265030687873246	No data	No data	No data	No data	No data	No data	No data	No data
DAGLB	0.44325342553157815	0.7291182273919807	No data	No data	No data	No data	No data	No data	No data	No data
BCAS3	0.44184584322662807	0.722137836859089	No data	No data	No data	No data	No data	No data	No data	No data
ITGA1	0.4416741582066358	0.7145138193082876	No data	No data	No data	No data	No data	No data	No data	No data
DHX38	0.43990403418811025	0.7230008021640382	No data	No data	No data	No data	No data	No data	No data	No data
GLP1R	0.4398768847213161	0.5328914044491426	No data	No data	No data	No data	No data	No data	No data	No data
CYP2C19	0.4386097656709829	No data	No data	0.6839221473130737	No data	No data	No data	No data	No data	No data
FOXC1	0.4378492478607439	0.714583493374259	No data	No data	No data	No data	No data	No data	No data	No data
ESR1	0.43680236265200356	No data	No data	No data	No data	No data	No data	No data	No data	No data
CDH13	0.4367346057598745	0.6927712889535735	No data	No data	No data	No data	No data	No data	No data	No data
PHB1	0.43338401942970795	0.712883803769022	No data	No data	No data	No data	No data	No data	No data	No data
TBX3	0.43316836621395816	0.7125290706043312	No data	No data	No data	No data	No data	No data	No data	No data
EHBP1L1	0.4322456314868051	0.7110112420442745	No data	No data	No data	No data	No data	No data	No data	No data
PRKCE	0.4317753099655011	0.7044805113371867	No data	No data	No data	No data	No data	No data	No data	No data
TFAP2B	0.4307692529959085	0.7075188326369273	No data	No data	No data	No data	No data	No data	No data	No data
SEMA5B	0.42863690973012764	0.7044672379783647	No data	No data	No data	No data	No data	No data	No data	No data
ANKRD13B	0.4249162629556759	0.6989549873522534	No data	No data	No data	No data	No data	No data	No data	No data
PLCG2	0.4242847412307708	0.6963963550741588	No data	No data	No data	No data	No data	No data	No data	No data
RPH3A	0.4240861113146462	0.6975894509387485	No data	No data	No data	No data	No data	No data	No data	No data
MMP3	0.4231816140744304	No data	No data	0.3039653988058105	No data	No data	0.607930797611621	No data	No data	No data
MSL2	0.4211725408302929	0.6927968487284314	No data	No data	No data	No data	No data	No data	No data	No data
COL6A3	0.41789471409353673	0.6536357833571882	No data	No data	No data	No data	No data	No data	No data	No data
PPP2R2D	0.4175115911176728	0.6867748644384384	No data	No data	No data	No data	No data	No data	No data	No data
CDC123	0.41597259591360114	0.68424333418842	No data	No data	No data	No data	No data	No data	No data	No data
TBX5	0.4159031719671134	0.6777543071764014	No data	No data	No data	No data	No data	No data	No data	No data
AEBP2	0.4156903090574749	0.6837789937450088	No data	No data	No data	No data	No data	No data	No data	No data
TBX2	0.41560988950794314	0.6836467096925349	No data	No data	No data	No data	No data	No data	No data	No data
RAPH1	0.4149225539660204	0.6813002333223684	No data	No data	No data	No data	No data	No data	No data	No data
ATXN2	0.41459894537402164	0.6777367112563767	No data	No data	No data	No data	No data	No data	No data	No data
DHX36	0.4134495429263206	0.6800931036075827	No data	No data	No data	No data	No data	No data	No data	No data
ESR2	0.4125662476789885	No data	No data	No data	No data	No data	No data	No data	No data	No data
PECAM1	0.41218735704381004	0.6570772988533918	No data	No data	No data	No data	No data	No data	No data	No data
RAB23	0.4115372278128834	0.6754276634599675	No data	No data	No data	No data	No data	No data	No data	No data
UHRF1	0.41076677164402514	0.6711206675772643	No data	No data	No data	No data	No data	No data	No data	No data
SLC22A2	0.41041791348256557	0.6649234625136381	No data	No data	No data	No data	No data	No data	No data	No data
NPC1L1	0.4101680924189696	0.036230200592594915	No data	No data	No data	No data	No data	No data	No data	No data
TRIB1	0.409960683664393	0.6409054873604567	No data	No data	No data	No data	No data	No data	No data	No data
ADAMTS3	0.409932359762078	0.6743076043730307	No data	No data	No data	No data	No data	No data	No data	No data
SMG6	0.40952258774192984	0.6718097681223127	No data	No data	No data	No data	No data	No data	No data	No data
INSR	0.4090321036101932	No data	No data	No data	No data	No data	No data	No data	No data	No data
DENND2B	0.4086574399105108	0.6722104580258215	No data	No data	No data	No data	No data	No data	No data	No data
ATP2B1	0.40501039961027463	0.660650870069405	No data	No data	No data	No data	No data	No data	No data	No data
CTRB2	0.4049365238735306	0.6660898336856851	No data	No data	No data	No data	No data	No data	No data	No data
DAB1	0.4045028206268657	0.6653764247773541	No data	No data	No data	No data	No data	No data	No data	No data
TGFB2	0.404034137944935	0.6572650886079511	No data	No data	No data	No data	No data	No data	No data	No data
PPARG	0.40382271014740434	0.43372913424699905	No data	No data	No data	No data	No data	No data	No data	No data
WIPI1	0.40344685479304065	0.6636394411634731	No data	No data	No data	No data	No data	No data	No data	No data
RASGRP1	0.40268378813045136	0.6623842544455322	No data	No data	No data	No data	No data	No data	No data	No data
MORF4L1	0.40208448697936566	0.6582068128713305	No data	No data	No data	No data	No data	No data	No data	No data
IRX1	0.40169450460705614	0.6607569581689136	No data	No data	No data	No data	No data	No data	No data	No data
PGR	0.4012014819623059	No data	No data	No data	No data	No data	No data	No data	No data	No data
FKBP1A	0.40073050952158834	No data	No data	No data	No data	No data	No data	No data	No data	No data
ST3GAL4	0.4007238349998134	0.6530049810451356	No data	No data	No data	No data	No data	No data	No data	No data
DDX59	0.39937861622692805	0.6569474976361909	No data	No data	No data	No data	No data	No data	No data	No data
LOXL4	0.3983466250975414	0.6552499505906372	No data	No data	No data	No data	No data	No data	No data	No data
DHODH	0.39808019199002176	0.6548116883598597	No data	No data	No data	No data	No data	No data	No data	No data
SPECC1L	0.3976437378445785	0.6540937544319226	No data	No data	No data	No data	No data	No data	No data	No data
TUBB	0.39690960297940003	No data	No data	No data	No data	No data	No data	No data	No data	No data
CTAGE1	0.3967971646075084	0.652701205739874	No data	No data	No data	No data	No data	No data	No data	No data
F11	0.39624587195264593	0.5421987413367515	No data	No data	No data	No data	No data	No data	No data	No data
ADORA2A	0.39623909248100947	0.030401758988991064	No data	No data	No data	No data	No data	No data	No data	No data
PLAT	0.3958717448183241	No data	No data	No data	No data	No data	No data	No data	No data	No data
TAF1A	0.3957939007216016	0.651050912828496	No data	No data	No data	No data	No data	No data	No data	No data
CDKN2A	0.3948611334518115	0.629626652511619	No data	No data	No data	No data	No data	No data	No data	No data
RASGEF1B	0.3934087453300653	0.647127513321666	No data	No data	No data	No data	No data	No data	No data	No data
SHROOM3	0.3922006168759628	0.6419485970641471	No data	No data	No data	No data	No data	No data	No data	No data
TUBB6	0.3921563954038718	No data	No data	No data	No data	No data	No data	No data	No data	No data
VAMP8	0.39199173626299555	0.6394223638836771	No data	No data	No data	No data	No data	No data	No data	No data
NT5C2	0.3919476325356365	0.6379549531599177	No data	No data	No data	No data	No data	No data	No data	No data
TUBB2A	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data
TUBB4A	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data
TUBB3	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data
TUBB4B	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data
TUBB1	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data
TUBB2B	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data
TUBB8	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data
PLTP	0.39096178014476524	0.6237307471155793	No data	No data	No data	No data	No data	No data	No data	No data
ABCG5	0.38916071799566443	0.6099700322418969	No data	No data	No data	No data	No data	No data	No data	No data
CENPW	0.3889726404640295	0.6398304576642393	No data	No data	No data	No data	No data	No data	No data	No data
NCALD	0.38586393690675536	0.6347168763660268	No data	No data	No data	No data	No data	No data	No data	No data
F10	0.3846825872566392	No data	No data	No data	No data	No data	No data	No data	No data	No data
ZFHX3	0.38384958773592204	0.6239847272037657	No data	No data	No data	No data	No data	No data	No data	No data
MYL2	0.38353799387034876	0.6308908766872072	No data	No data	No data	No data	No data	No data	No data	No data
HGFAC	0.3833729936887159	0.6306194639173968	No data	No data	No data	No data	No data	No data	No data	No data
EYA4	0.3831178662921049	0.6301997987225862	No data	No data	No data	No data	No data	No data	No data	No data
KALRN	0.38304207036516436	No data	No data	0.5957721816593886	No data	No data	No data	No data	No data	No data
EXOC3L2	0.38239583603535754	0.6290121137762338	No data	No data	No data	No data	No data	No data	No data	No data
AGTR1	0.3799499100872046	No data	No data	No data	No data	No data	No data	No data	No data	No data
PDGFD	0.37757789432424343	0.595134109593994	No data	No data	No data	No data	No data	No data	No data	No data
PLEKHH2	0.377435781561365	0.6202452700012255	No data	No data	No data	No data	No data	No data	No data	No data
PPM1D	0.37741611876117337	0.6208208569855793	No data	No data	No data	No data	No data	No data	No data	No data
RNF213	0.37724516395336616	0.5641858554677835	No data	0.19453785523571876	No data	No data	No data	No data	No data	No data
UBC	0.3763783078631559	0.6036471837079664	No data	No data	No data	No data	No data	No data	No data	No data
DDI1	0.3756460909437994	0.6179092956297015	No data	No data	No data	No data	No data	No data	No data	No data
KCTD10	0.37334160913154396	0.5970416530604168	No data	No data	No data	No data	No data	No data	No data	No data
ACLY	0.37265000235256285	No data	No data	No data	No data	No data	No data	No data	No data	No data
