Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04668:TNF signaling pathway	50	3.90625	3.696791799483141E-20	CXCL6, CSF2, CSF1, TNFAIP3, CXCL1, CXCL3, TNF, CXCL2, CXCL5, CX3CL1, ICAM1, CASP7, CREB3L1, MAP3K8, JUNB, MAP3K5, MAP2K3, EDN1, IL15, RHBDF2, TRAF1, CREB3, IRF1, IL1B, BIRC2, BIRC3, PIK3R2, NOD2, PTGS2, CCL5, CCL2, MAP2K6, JAG1, VCAM1, MLKL, CCL20, LIF, VEGFC, CFLAR, SELE, NFKB1, NFKBIA, CYLD, CXCL10, MAPK11, IL6, BCL3, FAS, TAB2, IL18R1	625	116	6242	4.304827586206897	1.2051541266315039E-17	1.2051541266315039E-17	1.0055273694594143E-17
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	64	5.0	3.3229986433993036E-18	CXCL6, CSF3, CXCL9, CD40, CSF2, CSF1, CXCL1, CXCL3, TNF, CXCL2, CXCL5, CX3CL1, TNFSF13B, TNFSF10, IL12A, TNFRSF4, IL15RA, IL15, IL1R1, IFNGR2, TGFBR2, IL1A, IL1B, IL3RA, RELL1, LTB, CCL14, EBI3, CXCR4, CSF2RB, TNFRSF11B, IL1RL1, CCL5, CCL2, TNFRSF14, CCR10, CCL15, IL32, TNFSF18, IL33, CD70, CCL20, IL34, TNFRSF9, LIF, TNFRSF10C, TNFRSF10B, INHBB, INHBA, GDF6, BMP6, TNFRSF10D, CXCL10, BMP2, CXCL11, IL6, IL7, TNFSF4, TNFSF9, CD27, ACKR3, FAS, IL17D, IL18R1	625	197	6242	3.2445725888324874	1.083297557748173E-15	5.416487788740865E-16	4.519278155023053E-16
KEGG_PATHWAY	hsa04621:NOD-like receptor signaling pathway	45	3.515625	1.6483208332469997E-11	RNF31, TNFAIP3, CXCL1, NOD2, CXCL3, ANTXR1, TNF, CXCL2, PANX1, IFI16, CCL5, CASP1, CCL2, GBP2, GBP1, IKBKE, GBP4, GBP3, GSDMD, GBP5, GABARAPL1, GBP7, STAT1, RIPK2, CARD8, STAT2, PRKCD, TYK2, NFKB1, NFKBIA, MAPK11, IL6, OAS1, OAS2, OAS3, IL1B, IRF7, TXNIP, TAB2, CARD16, MYD88, BIRC2, IRF9, BIRC3, NFKBIB	625	150	6242	2.9961599999999997	5.373542499853556E-9	1.7911753054617397E-9	1.4944775554772799E-9
KEGG_PATHWAY	hsa05168:Herpes simplex virus 1 infection	44	3.4375000000000004	4.005983522653992E-11	SP100, PIK3R2, TNF, IFIH1, C3, CCL5, CCL2, IL12A, TNFRSF14, HLA-DOB, IKBKE, CD74, STAT1, IFNGR2, STAT2, HLA-B, TAP2, HLA-C, TAP1, EIF2AK2, TYK2, HLA-A, POU2F2, HLA-F, HLA-G, NFKB1, PML, TAPBP, BST2, NFKBIA, IL6, OAS1, OAS2, OAS3, IL1B, IRF7, FAS, TAB2, MYD88, BIRC2, IRF9, TLR3, BIRC3, TLR2	625	148	6242	2.9691675675675677	1.3059509140767034E-8	3.2648765709630035E-9	2.7240687954047144E-9
KEGG_PATHWAY	hsa05164:Influenza A	41	3.2031249999999996	6.071887493962856E-11	ADAR, PIK3R2, TNF, ICAM1, IFIH1, CCND3, CCL5, CASP1, TNFSF10, CCL2, TRIM25, IL12A, HLA-DOB, IKBKE, IL33, RSAD2, STAT1, IFNGR2, STAT2, MX2, MX1, TNFRSF10B, EIF2AK2, TYK2, NFKB1, PML, NFKBIA, IL1A, CXCL10, IL6, CDK6, OAS1, OAS2, OAS3, IL1B, IRF7, FAS, MYD88, IRF9, TLR3, NFKBIB	625	133	6242	3.078760902255639	1.9794352823510053E-8	3.958870646063783E-9	3.3031067967157935E-9
KEGG_PATHWAY	hsa04061:Viral protein interaction with cytokine and cytokine receptor	27	2.109375	1.393803415894721E-10	CCL14, CXCL6, CXCL9, CSF1, CXCR4, CXCL1, CXCL3, TNF, CXCL2, CXCL5, CX3CL1, CCL5, TNFSF10, CCL2, TNFRSF14, CCR10, CCL15, CCL20, IL34, TNFRSF10C, TNFRSF10B, TNFRSF10D, CXCL10, CXCL11, IL6, ACKR3, IL18R1	625	65	6242	4.148529230769231	4.5438008133835694E-8	7.572998559694651E-9	6.318575485389402E-9
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	31	2.421875	5.540213145274175E-10	CD40, BCL2A1, TNFAIP3, LY96, CXCL1, CXCL3, PTGS2, TNF, CXCL2, RELB, TNFSF13B, ICAM1, PLAU, TRIM25, LYN, CARD10, VCAM1, IL1R1, GADD45A, CFLAR, TRAF1, NFKB1, NFKB2, NFKBIA, CYLD, IL1B, TAB2, LTB, MYD88, BIRC2, BIRC3	625	88	6242	3.5182181818181815	1.8061091888732506E-7	2.5801564076562585E-8	2.1527685364493936E-8
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	46	3.5937499999999996	6.423395677536889E-10	CD40, TNFAIP3, PIK3R2, TNF, RELB, ICAM1, CCND3, HES1, JAK3, HLA-DOB, IKBKE, MAP2K6, LYN, MAP2K3, GADD45A, STAT1, STAT2, HLA-B, TAP2, HLA-C, TAP1, EIF2AK2, ISG15, TYK2, HLA-A, HLA-F, HLA-G, NFKB1, TAPBP, NFKB2, NFKBIA, MAPK11, CXCL10, IL6, CDK6, OAS1, OAS2, OAS3, IRF7, FAS, TAB2, NFKBIE, MYD88, IRF9, NFKBIB, TLR2	625	172	6242	2.6709953488372093	2.094026599896992E-7	2.6175337385962824E-8	2.1839545303625425E-8
KEGG_PATHWAY	hsa04620:Toll-like receptor signaling pathway	28	2.1875	3.070642209894512E-8	CXCL9, CD40, LY96, PIK3R2, TNF, CCL5, CTSK, IL12A, MAP3K8, IKBKE, MAP2K6, MAP2K3, STAT1, STAT2, TYK2, NFKB1, NFKBIA, MAPK11, CXCL10, CXCL11, IL6, IL1B, IRF7, TAB2, MYD88, IRF9, TLR3, TLR2	625	86	6242	3.2516465116279067	1.0010243646219052E-5	1.1122548449173454E-6	9.280163123236747E-7
KEGG_PATHWAY	hsa04380:Osteoclast differentiation	32	2.5	1.5268942549972075E-7	CSF1, NCF4, FHL2, ATP2A3, PIK3R2, TNFRSF11B, TNF, RELB, PPP3CA, SOCS1, CTSK, ACP5, JUNB, MAP2K6, IL1R1, STAT1, IFNGR2, STAT2, TYK2, NFKB1, TGFBR2, NFKB2, NFKBIA, CYLD, MAPK11, IL1A, IL1B, TAB2, PPARG, LCP2, SQSTM1, IRF9	625	115	6242	2.7790469565217393	4.977551768658994E-5	4.760280957379174E-6	3.971768160758084E-6
KEGG_PATHWAY	hsa05171:Coronavirus disease - COVID-19	44	3.4375000000000004	1.6062297708948132E-7	NRP1, CSF3, CSF2, C1S, C1R, ADAR, PIK3R2, TNF, EGFR, C2, IFIH1, C3, CASP1, CCL2, IL12A, IKBKE, ACE, VWF, MMP1, STAT1, STAT2, MX2, MX1, EIF2AK2, ISG15, RPS3A, TYK2, NFKB1, NFKBIA, MAPK11, CXCL10, IL6, OAS1, OAS2, OAS3, IL1B, TAB2, MYD88, IRF9, CFB, TLR3, HBEGF, NFKBIB, TLR2	625	190	6242	2.3128252631578947	5.236172383049631E-5	4.760280957379174E-6	3.971768160758084E-6
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	43	3.359375	2.401865158054493E-7	CD40, NCF4, LY96, CXCL1, PIK3R2, VLDLR, CXCL3, TNF, CXCL2, ICAM1, PPP3CA, CASP7, CCL5, CASP1, TNFSF10, CCL2, OLR1, IL12A, IKBKE, MAP2K6, MAP3K5, LYN, CYP2J2, MAP2K3, XBP1, VCAM1, MMP1, NOS3, TNFRSF10B, POU2F2, SOD2, SELE, NFKB1, NFKBIA, MAPK11, IL6, IL1B, IRF7, FAS, TAB2, PPARG, MYD88, TLR2	625	186	6242	2.308868817204301	7.829774812140311E-5	6.525067012714706E-6	5.444227691590184E-6
KEGG_PATHWAY	hsa05162:Measles	32	2.5	3.5240967994329265E-7	TNFAIP3, ADAR, PIK3R2, BBC3, IFIH1, CCND3, IL12A, JAK3, IKBKE, STAT5A, STAT1, STAT2, MX2, MX1, EIF2AK2, TYK2, NFKB1, NFKBIA, IL1A, IL6, CDK6, OAS1, OAS2, OAS3, IL1B, IRF7, FAS, TAB2, MYD88, IRF9, NFKBIB, TLR2	625	119	6242	2.685633613445378	1.1487897682616044E-4	8.83735043550103E-6	7.373494841890431E-6
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	24	1.875	4.0078012260476573E-7	CXCL6, CSF2, CSF1, IL15, MMP1, CCL20, CXCL1, CXCL3, CXCL2, TNF, CXCL5, TNFSF13B, ICAM1, VEGFA, IL1A, IL6, IL1B, CTSK, CCL5, CCL2, ACP5, LTB, HLA-DOB, TLR2	625	74	6242	3.2390918918918916	1.3064581125665775E-4	9.332451426368115E-6	7.786585239178304E-6
KEGG_PATHWAY	hsa04933:AGE-RAGE signaling pathway in diabetic complications	27	2.109375	9.04258505654839E-7	PIK3R2, TNF, ICAM1, THBD, PIM1, CCL2, STAT5A, EGR1, EDN1, VCAM1, NOS3, STAT1, PRKCD, VEGFC, SELE, F3, NFKB1, TGFBR2, VEGFA, MAPK11, IL1A, IL6, COL4A2, COL4A1, IL1B, NOX4, PLCD3	625	94	6242	2.868663829787234	2.9474496028469854E-4	1.9652551522898502E-5	1.639722090254108E-5
KEGG_PATHWAY	hsa04217:Necroptosis	29	2.265625	2.61620689450069E-6	RNF31, TNFAIP3, TNF, CASP1, TNFSF10, CAPN2, STAT6, JAK3, STAT5A, IL33, MLKL, STAT1, IFNGR2, STAT2, PLA2G4C, TNFRSF10B, EIF2AK2, TYK2, CFLAR, CYLD, IL1A, IL1B, FAS, SQSTM1, BIRC2, IRF9, TLR3, BIRC3, CHMP5	625	111	6242	2.609268468468468	8.525209605932949E-4	5.330521547545156E-5	4.4475517206511726E-5
KEGG_PATHWAY	hsa05332:Graft-versus-host disease	11	0.8593750000000001	3.7165616823092126E-6	IL1A, IL6, IL1B, HLA-B, FAS, HLA-C, HLA-A, HLA-F, TNF, HLA-DOB, HLA-G	625	19	6242	5.782063157894737	0.0012108676673429075	7.12705357901649E-5	5.94649869169474E-5
KEGG_PATHWAY	hsa05140:Leishmaniasis	19	1.484375	9.883604411063914E-6	MARCKSL1, STAT1, IFNGR2, NCF4, PTGS2, TNF, NFKB1, C3, NFKBIA, MAPK11, IL1A, CR1L, IL1B, IL12A, TAB2, HLA-DOB, MYD88, NFKBIB, TLR2	625	59	6242	3.2162169491525425	0.0032168856608442153	1.7900305766704644E-4	1.493522444338547E-4
KEGG_PATHWAY	hsa04940:Type I diabetes mellitus	12	0.9375	1.0978636584918966E-5	IL1A, PTPRN2, IL1B, HLA-B, FAS, HLA-C, IL12A, HLA-A, HLA-F, TNF, HLA-DOB, HLA-G	625	25	6242	4.793856	0.0035726579895682953	1.8837029087808333E-4	1.571678500577873E-4
KEGG_PATHWAY	hsa04657:IL-17 signaling pathway	22	1.7187500000000002	1.2913255045407175E-5	CXCL6, CSF3, CSF2, MMP1, CCL20, TNFAIP3, CXCL1, CXCL3, PTGS2, CXCL2, TNF, CXCL5, NFKB1, NFKBIA, MAPK11, CXCL10, IL6, IL1B, CCL2, TAB2, IL17D, IKBKE	625	77	6242	2.8534857142857146	0.004200899756250487	2.1048605724013696E-4	1.7562026861753759E-4
KEGG_PATHWAY	hsa05144:Malaria	14	1.09375	2.308492881409773E-5	CSF3, CD40, VCAM1, SELE, TNF, ICAM1, IL6, CR1L, IL1B, CCL2, SDC1, IL12A, MYD88, TLR2	625	36	6242	3.8839111111111113	0.00749752593153441	3.425660989664996E-4	2.858220212235825E-4
KEGG_PATHWAY	hsa05418:Fluid shear stress and atherosclerosis	30	2.34375	2.311795759896623E-5	SDC4, PDGFB, PLAT, PIK3R2, TNF, ICAM1, THBD, GPC1, KDR, CCL2, ITGAV, MAP2K6, MAP3K5, GSTM3, MEF2C, EDN1, VCAM1, CAV2, IL1R1, NOS3, SELE, NFKB1, KLF2, VEGFA, MAPK11, IL1A, GSTA4, IL1B, SDC1, SQSTM1	625	130	6242	2.3047384615384616	0.0075082127760282	3.425660989664996E-4	2.858220212235825E-4
