Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05161:Hepatitis B	7	3.954802259887006	0.010963244538270904	MAP3K1, PIK3CD, NFATC1, FOS, MMP9, TGFBR1, CREB5	77	139	5610	3.669064748201439	0.8990315337779354	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	7	3.954802259887006	0.011333354720020842	TSLP, GDF15, IFNE, TNFSF8, IL6R, TGFBR1, IL27RA	77	140	5610	3.642857142857143	0.9065938275289697	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa04659:Th17 cell differentiation	5	2.824858757062147	0.016736573342421207	NFATC1, FOS, IL6R, TGFBR1, IL27RA	77	73	5610	4.990215264187866	0.9701230552513292	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa04921:Oxytocin signaling pathway	6	3.389830508474576	0.018036843115811666	PRKAA2, CAMK1D, PLA2G4A, NFATC1, FOS, PIK3CG	77	113	5610	3.8685208596713023	0.9773117900324432	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa04928:Parathyroid hormone synthesis, secretion and action	5	2.824858757062147	0.02864728090544536	MMP16, WNK4, FOS, PLD1, CREB5	77	86	5610	4.235880398671096	0.9976318580698577	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa04024:cAMP signaling pathway	6	3.389830508474576	0.029965827566090567	BDNF, PIK3CD, NFATC1, FOS, PLD1, CREB5	77	129	5610	3.388704318936877	0.9982147335241872	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa04360:Axon guidance	6	3.389830508474576	0.034519080239528446	SEMA7A, SEMA4D, SEMA3D, SEMA4B, PIK3CD, SLIT2	77	134	5610	3.2622601279317696	0.9993290523100549	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa04933:AGE-RAGE signaling pathway in diabetic complications	5	2.824858757062147	0.03796772153497181	SERPINE1, PIK3CD, NFATC1, FOXO1, TGFBR1	77	94	5610	3.8753799392097266	0.9996812531294201	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa05166:Human T-cell leukemia virus 1 infection	7	3.954802259887006	0.04028719976939224	MAP3K1, TERT, PIK3CD, NFATC1, FOS, TGFBR1, CREB5	77	187	5610	2.7272727272727275	0.9998070753359223	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa05200:Pathways in cancer	11	6.214689265536723	0.04154169228237525	TERT, RARB, PIK3CD, FOS, PLD1, IL6R, MMP9, FOXO1, TGFBR1, GLI2, F2RL3	77	399	5610	2.00859291084855	0.9998530292091378	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa04630:JAK-STAT signaling pathway	5	2.824858757062147	0.04321093991597326	TSLP, IFNE, PIK3CD, IL6R, IL27RA	77	98	5610	3.717201166180758	0.9998977249269235	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	8	4.519774011299435	0.0461931693063258	PRKAA2, BDNF, COL6A2, PIK3CD, THBS1, IL6R, PIK3CG, CREB5	77	244	5610	2.388758782201405	0.9999465719788982	0.800681601309647	0.800681601309647
KEGG_PATHWAY	hsa04926:Relaxin signaling pathway	5	2.824858757062147	0.05332478860071341	PIK3CD, FOS, MMP9, TGFBR1, CREB5	77	105	5610	3.4693877551020407	0.9999887847462603	0.8445023215865687	0.8445023215865687
KEGG_PATHWAY	hsa00565:Ether lipid metabolism	3	1.694915254237288	0.06542740248370062	PLA2G4A, PLA2G5, PLD1	77	31	5610	7.050691244239632	0.9999992281854877	0.8445023215865687	0.8445023215865687
KEGG_PATHWAY	hsa04014:Ras signaling pathway	6	3.389830508474576	0.07062193804585758	BDNF, PLA2G4A, PIK3CD, PLA2G5, KSR2, PLD1	77	164	5610	2.6655052264808363	0.9999997578844545	0.8445023215865687	0.8445023215865687
KEGG_PATHWAY	hsa04725:Cholinergic synapse	4	2.2598870056497176	0.08076165133975127	PIK3CD, FOS, PIK3CG, CREB5	77	75	5610	3.885714285714286	0.9999999752798073	0.8445023215865687	0.8445023215865687
KEGG_PATHWAY	hsa04211:Longevity regulating pathway	4	2.2598870056497176	0.08329405142156404	PRKAA2, PIK3CD, FOXO1, CREB5	77	76	5610	3.8345864661654137	0.9999999860732333	0.8445023215865687	0.8445023215865687
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	7	3.954802259887006	0.09178650690839427	MAP3K1, BDNF, DDIT3, PLA2G4A, NFATC1, FOS, TGFBR1	77	231	5610	2.207792207792208	0.9999999979904743	0.8445023215865687	0.8445023215865687
KEGG_PATHWAY	hsa05231:Choline metabolism in cancer	4	2.2598870056497176	0.0937603843782603	PLA2G4A, PIK3CD, FOS, PLD1	77	80	5610	3.6428571428571432	0.9999999987219349	0.8445023215865687	0.8445023215865687
