Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04668:TNF signaling pathway	41	5.799151343705799	8.460273564026187E-22	CXCL6, CSF2, CSF1, TNFAIP3, PIK3CD, CXCL1, CXCL3, PTGS2, TNF, CXCL2, CX3CL1, ICAM1, CCL5, CCL2, MAP3K8, JUNB, MAP2K6, MAP2K3, EDN1, VCAM1, JAG1, CCL20, RHBDF2, LIF, TRAF1, FOS, SELE, MMP9, NFKB1, NFKBIA, CYLD, CXCL10, CREB3, IL6, IRF1, IL1B, BCL3, BIRC2, IL18R1, BIRC3, CREB5	326	115	5610	6.13523606295012	2.478860154259673E-19	2.478860154259673E-19	2.0389259289303112E-19
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	44	6.223479490806223	5.861016341276159E-21	CXCL6, CD40, CSF2, CXCL8, CSF1, EBI3, CXCL1, TNFRSF11B, CXCL3, TNF, CXCL2, CX3CL1, IL27RA, IL1RL1, CCL5, TNFSF10, CCL2, IL6R, TNFRSF4, CCR10, IL32, TNFSF18, IFNAR2, IL15RA, TSLP, CCL20, GDF15, IFNGR2, TNFRSF9, LIF, INHBA, TGFBR1, IL1A, CXCL10, BMP2, CXCL11, IL6, IFNE, IL1B, TNFSF4, IL3RA, TNFSF8, LTB, IL18R1	326	140	5610	5.408413672217353	1.7172777879939145E-18	8.5863889399695725E-19	7.062524691237772E-19
KEGG_PATHWAY	hsa04061:Viral protein interaction with cytokine and cytokine receptor	18	2.545968882602546	6.557379531073652E-11	CXCL6, CXCL8, CSF1, CCL20, CXCL1, CXCL3, CXCL2, TNF, CX3CL1, CXCL10, CXCL11, IL6, CCL5, TNFSF10, CCL2, IL6R, IL18R1, CCR10	326	43	5610	7.2035953773719505	1.921311398866976E-8	6.404374008681934E-9	5.267761556629167E-9
KEGG_PATHWAY	hsa04380:Osteoclast differentiation	25	3.536067892503536	1.2507767267506193E-9	CSF1, FHL2, ATP2A3, PIK3CD, TNFRSF11B, TNF, RELB, SOCS1, CTSK, JUNB, MAP2K6, IFNAR2, IFNGR2, NFATC1, FOS, TGFBR1, NFKB1, NFKB2, NFKBIA, CYLD, IL1A, IL1B, PPARG, SQSTM1, IRF9	326	100	5610	4.302147239263803	3.6647750745189E-7	9.110189441179318E-8	7.493364011345444E-8
KEGG_PATHWAY	hsa05164:Influenza A	28	3.9603960396039604	1.6952986819208346E-9	CXCL8, PIK3CD, TNF, ICAM1, IFIH1, CCL5, CASP1, TNFSF10, CCL2, IKBKE, IFNAR2, RSAD2, IFNGR2, MX2, MX1, NFKB1, NFKBIA, IL1A, CXCL10, IL6, OAS1, OAS2, OAS3, IL1B, IRF7, IRF9, TLR3, RIGI	326	126	5610	3.8241308793456033	4.967223901086726E-7	9.110189441179318E-8	7.493364011345444E-8
KEGG_PATHWAY	hsa04933:AGE-RAGE signaling pathway in diabetic complications	24	3.3946251768033946	1.8655678036544677E-9	STAT5A, EGR1, EDN1, VCAM1, CXCL8, NOS3, PRKCD, SERPINE1, PIK3CD, NFATC1, SELE, F3, TNF, FOXO1, TGFBR1, NFKB1, ICAM1, IL1A, THBD, IL6, COL4A1, IL1B, CCL2, NOX4	326	94	5610	4.3936822869077155	5.466112198426742E-7	9.110189441179318E-8	7.493364011345444E-8
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	22	3.1117397454031117	6.380297629343916E-9	CD40, VCAM1, CXCL8, BCL2A1, TNFAIP3, CXCL1, TRAF1, CXCL3, PTGS2, CXCL2, TNF, NFKB1, RELB, ICAM1, NFKB2, NFKBIA, CYLD, IL1B, LTB, BIRC2, RIGI, BIRC3	326	84	5610	4.507011393514461	1.8694254623197182E-6	2.6389908535236046E-7	2.1706375279835793E-7
KEGG_PATHWAY	hsa04621:NOD-like receptor signaling pathway	29	4.101838755304102	7.205435777538852E-9	CXCL8, TNFAIP3, CXCL1, CXCL3, TNF, CXCL2, PANX1, CCL5, CASP1, CCL2, GBP1, IKBKE, GBP4, GBP3, IFNAR2, RIPK2, PRKCD, NFKB1, NFKBIA, IL6, OAS1, OAS2, OAS3, IL1B, IRF7, TXNIP, BIRC2, IRF9, BIRC3	326	143	5610	3.489853704577631	2.111190469444857E-6	2.6389908535236046E-7	2.1706375279835793E-7
KEGG_PATHWAY	hsa04620:Toll-like receptor signaling pathway	21	2.9702970297029703	9.231782172900453E-9	MAP2K3, IFNAR2, CD40, CXCL8, PIK3CD, FOS, TNF, NFKB1, NFKBIA, CXCL10, CXCL11, IL6, IL1B, CTSK, CCL5, IRF7, MAP3K8, IKBKE, IRF9, TLR3, MAP2K6	326	78	5610	4.633081642284096	2.7049085469244005E-6	3.005457974066481E-7	2.472066115187788E-7
KEGG_PATHWAY	hsa05168:Herpes simplex virus 1 infection	28	3.9603960396039604	4.158538961592064E-8	PIK3CD, TNF, IFIH1, CCL5, CCL2, IKBKE, IFNAR2, IFNGR2, HLA-B, TAP2, TAP1, HLA-A, POU2F2, HLA-F, NFKB1, TAPBP, NFKBIA, IL6, OAS1, OAS2, OAS3, IL1B, IRF7, BIRC2, IRF9, TLR3, BIRC3, RIGI	326	145	5610	3.323037867569283	1.2184445168261782E-5	1.0420144520679944E-6	8.570835595508076E-7
